id,first_name,last_name,email,state,verified
1,Riley,Brown,riley.brown1825@example.com,Louisiana,0
2,Taylor,Miller,taylor.miller4507@mail.com,Ohio,1
3,Rowan,Miller,rowan.miller3658@mail.com,Maryland,0
4,Elliot,Smith,elliot.smith1680@scopely.dev,Ohio,1
5,Cameron,Rodriguez,cameron.rodriguez1425@scopely.dev,Ohio,0
6,Drew,Johnson,drew.johnson6913@example.com,Alaska,1
7,Rowan,Jones,rowan.jones489@example.com,Washington,1
8,Casey,Garcia,casey.garcia3583@mail.com,Delaware,1
9,Riley,Smith,riley.smith8280@scopely.dev,Idaho,1
10,Avery,Wilson,avery.wilson435@scopely.dev,Rhode Island,1
11,Jordan,Lopez,jordan.lopez3258@scopely.dev,Delaware,1
12,Riley,Johnson,riley.johnson6874@mail.com,Louisiana,1
13,Cameron,Miller,cameron.miller7360@scopely.dev,South Dakota,1
14,Cameron,Garcia,cameron.garcia4558@example.com,Ohio,1
15,Drew,Garcia,drew.garcia2616@playverse.net,Kansas,1
16,Casey,Garcia,casey.garcia5575@gamehub.io,Ohio,1
17,Taylor,Wilson,taylor.wilson2548@mail.com,Rhode Island,1
18,Drew,Wilson,drew.wilson5515@example.com,Louisiana,0
19,Drew,Miller,drew.miller1520@playverse.net,New Mexico,1
20,Jordan,Martinez,jordan.martinez1585@gamehub.io,West Virginia,1
21,Jamie,Lopez,jamie.lopez5636@scopely.dev,Washington,1
22,Casey,Wilson,casey.wilson4334@example.com,Mississippi,1
23,Sam,Wilson,sam.wilson7528@scopely.dev,Arkansas,1
24,Drew,Lopez,drew.lopez2046@playverse.net,Ohio,0
25,Skyler,Rodriguez,skyler.rodriguez1292@scopely.dev,Idaho,1
26,Quinn,Rodriguez,quinn.rodriguez4804@scopely.dev,Ohio,0
27,Jamie,Anderson,jamie.anderson5926@scopely.dev,Louisiana,1
28,Sam,Johnson,sam.johnson3151@example.com,Ohio,1
29,Skyler,Johnson,skyler.johnson751@mail.com,Louisiana,1
30,Casey,Jones,casey.jones4742@example.com,Utah,1
31,Alex,Martinez,alex.martinez3815@example.com,Arkansas,1
32,Skyler,Miller,skyler.miller6228@gamehub.io,Arkansas,1
33,Avery,Lopez,avery.lopez7429@gamehub.io,Ohio,1
34,Jamie,Wilson,jamie.wilson2665@gamehub.io,Louisiana,1
35,Rowan,Lopez,rowan.lopez5821@mail.com,Massachusetts,0
36,Skyler,Anderson,skyler.anderson4375@example.com,Texas,0
37,Morgan,Gonzalez,morgan.gonzalez9981@mail.com,New Mexico,1
38,Alex,Williams,alex.williams8752@mail.com,Ohio,1
39,Cameron,Anderson,cameron.anderson2678@playverse.net,Alaska,1
40,Cameron,Anderson,cameron.anderson6217@gamehub.io,Ohio,1
41,Elliot,Williams,elliot.williams9126@mail.com,Louisiana,0
42,Avery,Brown,avery.brown5314@example.com,Massachusetts,1
43,Skyler,Williams,skyler.williams3753@example.com,Pennsylvania,0
44,Skyler,Anderson,skyler.anderson5169@playverse.net,Mississippi,1
45,Elliot,Anderson,elliot.anderson4387@example.com,West Virginia,1
46,Quinn,Williams,quinn.williams3457@scopely.dev,Oklahoma,1
47,Quinn,Davis,quinn.davis5156@mail.com,Ohio,0
48,Elliot,Miller,elliot.miller8180@playverse.net,New Mexico,1
49,Quinn,Gonzalez,quinn.gonzalez7518@mail.com,Maryland,1
50,Jordan,Miller,jordan.miller4340@mail.com,Arizona,1
